Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
1993,USA,North America,4,1,4,19,9,2.111111111111111,44.44444444444444
1993,Uganda,Africa,0,0,2,1,2,0.5,0.0
1993,Ukraine,Europe,2,0,1,4,3,1.3333333333333333,66.66666666666666
1993,United Arab Emirates,Asia,1,0,1,2,2,1.0,50.0
1993,Uruguay,South America,3,1,3,9,7,1.2857142857142858,42.857142857142854
1993,Venezuela,South America,1,0,4,2,5,0.4,20.0
1993,Wales,Europe,1,0,1,3,2,1.5,50.0
1993,Zambia,Africa,1,0,1,4,2,2.0,50.0
1993,Zimbabwe,Africa,4,0,1,7,5,1.4,80.0
1994,Albania,Europe,0,0,4,2,4,0.5,0.0
1994,Algeria,Africa,0,3,1,2,4,0.5,0.0
1994,Angola,Africa,2,1,1,5,4,1.25,50.0
1994,Argentina,South America,5,2,4,20,11,1.8181818181818181,45.45454545454545
1994,Armenia,Europe,1,1,2,1,4,0.25,25.0
1994,Australia,Oceania,2,3,1,3,6,0.5,33.33333333333333
1994,Austria,Europe,2,1,5,12,8,1.5,25.0
1994,Azerbaijan,Europe,0,0,3,0,3,0.0,0.0
1994,Bahrain,Asia,1,3,1,5,5,1.0,20.0
1994,Bangladesh,Asia,0,0,1,2,1,2.0,0.0
1994,Barbados,North America,1,1,1,3,3,1.0,33.33333333333333
1994,Belarus,Europe,1,1,3,4,5,0.8,20.0
1994,Belgium,Europe,4,1,5,12,10,1.2,40.0
1994,Bolivia,South America,3,7,6,9,16,0.5625,18.75
1994,Botswana,Africa,1,0,3,4,4,1.0,25.0
1994,Brazil,South America,10,2,0,29,12,2.4166666666666665,83.33333333333334
1994,Bulgaria,Europe,7,4,3,24,14,1.7142857142857142,50.0
1994,Burkina Faso,Africa,2,2,2,4,6,0.6666666666666666,33.33333333333333
1994,Cameroon,Africa,1,7,6,14,14,1.0,7.142857142857142
1994,Canada,North America,0,2,3,2,5,0.4,0.0
1994,Cayman Islands,North America,1,0,2,5,3,1.6666666666666667,33.33333333333333
1994,Chile,South America,3,1,3,11,7,1.5714285714285714,42.857142857142854
1994,China PR,Asia,0,1,1,1,2,0.5,0.0
1994,Colombia,South America,8,4,3,20,15,1.3333333333333333,53.333333333333336
1994,Congo,Africa,0,1,0,1,1,1.0,0.0
1994,Costa Rica,North America,1,1,1,3,3,1.0,33.33333333333333
1994,Croatia,Europe,5,2,1,15,8,1.875,62.5
1994,Cyprus,Europe,2,1,4,8,7,1.1428571428571428,28.57142857142857
1994,Czech Republic,Europe,3,3,1,16,7,2.2857142857142856,42.857142857142854
1994,Côte d'Ivoire,Africa,8,2,6,27,16,1.6875,50.0
1994,Denmark,Europe,4,1,3,11,8,1.375,50.0
1994,Dominican Republic,North America,0,0,1,0,1,0.0,0.0
1994,Ecuador,South America,2,1,1,3,4,0.75,50.0
1994,Egypt,Africa,7,4,4,22,15,1.4666666666666666,46.666666666666664
1994,El Salvador,North America,1,0,2,3,3,1.0,33.33333333333333
1994,England,Europe,4,2,0,10,6,1.6666666666666667,66.66666666666666
1994,Estonia,Europe,0,1,11,1,12,0.08333333333333333,0.0
1994,Eswatini,Africa,0,0,1,0,1,0.0,0.0
1994,Ethiopia,Africa,0,1,2,1,3,0.3333333333333333,0.0
1994,Faroe Islands,Europe,0,0,3,2,3,0.6666666666666666,0.0
1994,Fiji,Oceania,2,1,2,8,5,1.6,40.0
1994,Finland,Europe,4,3,7,21,14,1.5,28.57142857142857
1994,France,Europe,4,4,0,11,8,1.375,50.0
1994,Gabon,Africa,2,1,3,6,6,1.0,33.33333333333333
1994,Gambia,Africa,0,2,1,2,3,0.6666666666666666,0.0
1994,Georgia,Europe,3,1,3,11,7,1.5714285714285714,42.857142857142854
1994,Germany,Europe,11,2,2,28,15,1.8666666666666667,73.33333333333333
1994,Ghana,Africa,7,3,5,18,15,1.2,46.666666666666664
1994,Greece,Europe,5,3,6,18,14,1.2857142857142858,35.714285714285715
1994,Grenada,North America,1,1,2,4,4,1.0,25.0
1994,Guinea,Africa,3,1,5,11,9,1.2222222222222223,33.33333333333333
1994,Guinea-Bissau,Africa,0,1,2,3,3,1.0,0.0
1994,Guyana,South America,0,0,1,0,1,0.0,0.0
1994,Haiti,North America,2,1,0,5,3,1.6666666666666667,66.66666666666666
1994,Honduras,North America,1,1,3,6,5,1.2,20.0
1994,Hungary,Europe,0,4,8,12,12,1.0,0.0
1994,Iceland,Europe,5,0,5,9,10,0.9,50.0
1994,India,Asia,1,0,3,5,4,1.25,25.0
1994,Israel,Europe,4,3,2,13,9,1.4444444444444444,44.44444444444444
1994,Italy,Europe,9,2,5,20,16,1.25,56.25
1994,Jamaica,North America,0,0,2,2,2,1.0,0.0
1994,Japan,Asia,2,2,1,7,5,1.4,40.0
1994,Kenya,Africa,0,0,4,0,4,0.0,0.0
1994,Korea Republic,Asia,4,6,4,19,14,1.3571428571428572,28.57142857142857
1994,Kuwait,Asia,2,3,4,6,9,0.6666666666666666,22.22222222222222
1994,Latvia,Europe,3,1,4,7,8,0.875,37.5
1994,Lesotho,Africa,1,0,0,2,1,2.0,100.0
1994,Liberia,Africa,1,3,1,4,5,0.8,20.0
1994,Liechtenstein,Europe,0,0,6,1,6,0.16666666666666666,0.0
1994,Lithuania,Europe,4,1,3,14,8,1.75,50.0
1994,Luxembourg,Europe,0,0,4,1,4,0.25,0.0
1994,Madagascar,Africa,0,0,1,0,1,0.0,0.0
1994,Malawi,Africa,1,0,3,4,4,1.0,25.0
